Antiguedad,Kilometraje,Marca.1.Índice,Modelo.1.Índice,Version.1.Índice,Precios Lista.Precio de Lista,Precio
7,45547,3,13,62,584900,348999
11,118500,3,14,52,974900,215999
7,105000,3,18,62,764900,268999
7,60661,3,13,74,584900,301999
13,93673,3,14,58,974900,220999
9,137001,3,18,89,764900,220999
8,42223,3,11,23,644900,307999
11,56900,3,9,95,794900,229999
10,95000,3,18,114,764900,224999
9,76273,3,14,92,974900,350999
4,36440,3,16,33,994900,609999
6,61126,3,17,35,1654900,801999
4,23461,3,18,43,764900,490999
9,98816,3,7,26,474900,208999
9,76273,3,14,92,974900,295999
6,56513,3,15,32,1164900,596999
8,106781,3,15,53,1164900,311999
5,84368,3,17,56,1654900,740999
12,109189,3,7,14,474900,168999
5,33279,3,10,44,894900,569999
6,83314,3,11,40,644900,298999
7,73057,3,11,25,644900,277999
10,101002,3,7,14,474900,175999
7,55493,3,10,63,894900,397999
12,92321,3,7,26,474900,190999
5,56054,3,11,43,644900,345999
7,40084,3,11,74,644900,289999
5,43000,3,18,43,764900,429999
4,27817,3,10,94,894900,673999
12,105078,3,18,46,764900,200999
5,51000,3,11,43,644900,348999
6,21335,3,17,35,1654900,783999
3,34529,3,18,43,764900,516999
10,101002,3,7,14,474900,178999
4,39734,3,10,48,894900,648999
7,62068,3,14,27,974900,392999
12,112000,3,11,93,644900,205999
4,53439,3,10,98,894900,589999
4,36000,3,18,50,764900,550999
11,54174,3,18,36,764900,268999
7,34499,3,13,61,584900,367999
6,100000,3,13,40,584900,335999
7,52420,3,13,74,584900,313999
5,52000,3,13,43,584900,365999
5,68000,3,13,43,584900,342999
4,71486,3,13,24,584900,327999
4,39631,3,13,24,584900,387999
4,16033,3,18,50,764900,580999
4,50615,3,13,24,584900,347999
13,78719,3,12,19,1454900,351999
6,56513,3,15,32,1164900,610999
5,51747,3,13,43,584900,365999
8,75628,3,9,75,794900,364999
9,74343,3,7,42,474900,218999
6,66279,3,9,59,794900,368999
7,86447,3,11,21,644900,284999
8,109220,3,9,16,794900,308999
8,95000,3,11,112,644900,245999
2,16456,3,15,100,1164900,958999
9,99501,3,18,66,764900,246999
3,24593,3,20,90,794900,659999
9,109548,3,10,17,894900,287999
6,35000,3,10,83,894900,489999
2,15668,3,15,100,1164900,854999
12,101205,3,7,69,474900,179999
3,40000,3,11,24,644900,447999
9,72400,3,14,52,974900,257999
7,66589,3,9,21,794900,293999
8,63537,3,11,20,644900,281999
9,73340,3,7,109,474900,233999
9,107405,3,23,111,974900,361999
4,27817,3,10,94,894900,677999
7,127437,3,10,82,894900,379999
7,69458,3,10,82,894900,401999
6,76000,3,10,77,894900,389999
7,75744,3,10,31,894900,363999
7,79003,3,10,31,894900,345999
7,104367,3,10,63,894900,364999
9,49000,3,10,28,894900,297999
9,126001,3,10,28,894900,253999
11,130214,3,10,17,894900,239999
10,86000,3,10,17,894900,280999
12,131841,3,10,17,894900,231999
6,57491,3,14,76,974900,489999
9,81246,3,14,58,974900,251999
7,33386,3,14,54,974900,394999
7,68802,3,14,54,974900,368999
5,70517,3,11,43,644900,325999
5,49076,3,11,43,644900,343999
5,36624,3,11,43,644900,354999
3,22770,3,11,24,644900,464999
8,63537,3,11,20,644900,282999
8,68000,3,11,18,644900,330999
8,46870,3,7,85,474900,230999
7,39126,3,7,72,474900,304999
7,75050,3,7,60,474900,289999
5,32527,3,7,47,474900,380999
5,50443,3,7,47,474900,368999
7,58504,3,7,38,474900,261999
7,85400,3,7,29,474900,240999
10,91448,3,7,26,474900,203999
7,55000,3,7,55,474900,275999
9,103000,3,7,14,474900,183999
10,71402,3,7,14,474900,200999
5,41292,3,11,50,644900,357999
3,15500,3,10,98,894900,720999
11,58044,3,9,95,794900,229999
8,96368,3,11,107,644900,246999
7,94000,3,11,74,644900,253999
10,70000,3,14,52,974900,225999
7,60400,3,11,74,644900,275999
7,84479,3,11,102,644900,367999
10,70000,3,14,52,974900,237999
9,76202,3,14,52,974900,306999
7,76000,3,14,27,974900,406999
8,90300,3,9,97,794900,268999
8,75628,3,9,75,794900,365999
4,66257,3,9,71,794900,436999
8,45037,3,9,68,794900,310999
10,65586,3,9,64,794900,229999
8,99636,3,9,39,794900,337999
10,108154,3,9,37,794900,212999
7,83000,3,9,21,794900,275999
7,66589,3,9,21,794900,297999
8,68146,3,9,16,794900,327999
8,107000,3,9,16,794900,308999
8,74000,3,11,70,644900,270999
6,67300,3,11,67,644900,303999
9,91000,3,11,51,644900,224999
5,41292,3,11,50,644900,360999
8,96368,3,11,107,644900,250999
6,60000,3,11,40,644900,333999
7,75031,3,11,62,644900,280999
7,96490,3,11,74,644900,252999
7,70000,3,18,62,764900,310999
7,76000,3,13,62,584900,329999
4,66257,3,9,71,794900,431999
9,126001,3,10,28,894900,251999
11,115000,3,18,46,764900,216999
7,55000,3,18,62,764900,308999
7,40665,3,11,74,644900,318999
4,34208,3,18,50,764900,551999
9,98816,3,7,26,474900,207999
9,144000,3,10,17,894900,259999
4,36000,3,18,50,764900,542999
5,49154,3,13,43,584900,339999
4,71486,3,13,24,584900,324999
8,107554,3,18,110,764900,268999
4,53439,3,10,98,894900,585999
9,109548,3,10,17,894900,280999
7,127437,3,10,82,894900,377999
4,16033,3,18,50,764900,577999
8,99636,3,9,39,794900,336999
4,76000,3,9,88,794900,437999
5,34566,3,7,57,474900,311999
4,27817,3,10,94,894900,671999
5,50443,3,7,47,474900,363999
4,34208,3,18,50,764900,542999
4,38200,3,7,47,474900,367999
3,11779,3,13,81,584900,526999
6,83314,3,11,40,644900,301999
5,49076,3,11,43,644900,308999
11,130214,3,10,17,894900,232999
7,96754,3,8,113,1399900,522999
7,63600,3,14,27,974900,432999
10,86000,3,10,17,894900,274999
6,70546,3,14,99,974900,443999
7,39126,3,7,72,474900,302999
5,77377,3,17,56,1654900,770999
9,99501,3,18,66,764900,243999
9,87388,3,7,14,474900,199999
7,40084,3,11,74,644900,290999
7,81435,3,8,84,1399900,541999
9,117686,3,7,14,474900,185999
7,58504,3,7,38,474900,256999
9,91105,3,11,51,644900,224999
10,70000,3,14,52,974900,231999
9,103000,3,7,14,474900,180999
6,70635,3,14,76,974900,471999
6,28800,3,11,40,644900,431999
11,122000,3,11,65,644900,171999
9,60897,3,7,30,474900,218999
12,19865,3,21,101,1559900,427999
5,49154,3,13,43,584900,333999
7,79003,3,10,31,894900,342999
9,87388,3,7,14,474900,201999
8,40547,3,7,14,474900,241999
12,87816,3,18,73,764900,212999
7,81435,3,8,84,1399900,545999
13,60376,3,22,103,794900,345999
6,68417,3,13,67,584900,325999
10,71402,3,7,14,474900,182999
6,61574,3,13,40,584900,345999
7,77199,3,10,63,894900,386999
9,98816,3,7,26,474900,209999
6,100000,3,13,40,584900,332999
10,103631,3,18,46,764900,228999
5,27500,3,11,43,644900,383999
10,108154,3,9,37,794900,208999
6,60000,3,11,40,644900,332999
11,122000,3,11,65,644900,170999
5,75167,3,17,56,1654900,776999
6,45236,3,17,56,1654900,842999
6,63691,3,17,56,1654900,779999
4,35200,3,7,34,474900,409999
5,33474,3,11,43,644900,364999
7,52420,3,13,74,584900,312999
8,45037,3,9,68,794900,309999
8,70154,3,11,23,644900,275999
4,25142,3,13,24,584900,416999
11,133254,3,15,53,1164900,195999
8,45037,3,9,68,794900,309999
7,62068,3,14,27,974900,384999
7,76000,3,14,27,974900,405999
5,36624,3,11,43,644900,349999
5,30000,3,11,43,644900,379999
5,34566,3,7,57,474900,317999
7,75050,3,7,60,474900,288999
11,50000,3,14,106,974900,291999
6,76000,3,10,77,894900,385999
7,69458,3,10,82,894900,397999
9,76202,3,14,52,974900,266999
7,66092,3,18,82,764900,343999
7,55000,3,7,55,474900,274999
12,89883,3,11,93,644900,191999
10,34587,3,7,14,474900,215999
12,101205,3,7,69,474900,179999
5,51000,3,11,43,644900,347999
10,110270,3,19,45,2239900,426999
11,123351,3,8,49,1399900,252999
9,49000,3,10,28,894900,249999
10,34587,3,7,14,474900,214999
6,41220,4,26,118,285900,213999
6,56786,4,24,115,295900,170999
6,78545,4,25,117,399900,194999
5,62881,4,29,118,289900,259999
8,90294,4,26,122,285900,164999
8,66733,4,26,119,285900,164999
2,17900,4,24,116,295900,249999
2,10392,4,24,116,295900,258999
6,78545,4,25,117,399900,190999
7,51506,4,27,120,579900,314999
5,70000,4,30,115,275900,199999
2,9400,4,24,116,295900,263999
6,78545,4,25,117,399900,191999
6,43207,4,25,117,399900,210999
8,90294,4,26,122,285900,166999
7,51506,4,27,120,579900,315999
6,42635,4,26,118,285900,206999
0,3766,4,28,121,285900,270999
2,17900,4,24,116,295900,251999
2,17900,4,24,116,295900,253999
5,62881,4,29,118,289900,272999
6,41220,4,26,118,285900,210999
2,10392,4,24,116,295900,262999
6,39397,4,26,118,285900,202999
7,51448,4,27,120,579900,316999
2,20000,5,36,192,695000,810999
8,98041,5,34,135,795000,290999
5,42264,5,31,147,885000,480999
2,19182,5,36,161,695000,578999
4,15445,5,32,176,985000,611999
9,40506,5,35,174,985000,437999
3,53035,5,34,126,795000,448999
7,76477,5,35,162,985000,380999
8,78222,5,34,131,795000,305999
4,36150,5,32,132,985000,574999
3,58079,5,34,165,795000,466999
9,78521,5,31,189,885000,262999
7,118556,5,34,151,795000,277999
3,30193,5,34,165,795000,511999
8,93519,5,32,128,985000,310999
6,46045,5,36,144,695000,323999
6,93581,5,34,125,795000,310999
9,116458,5,36,157,695000,205999
5,46000,5,33,125,795000,395999
4,49485,5,31,201,885000,600999
4,31529,5,34,165,795000,484999
4,30255,5,34,165,795000,497999
8,78025,5,37,137,795000,296999
6,70090,5,36,144,695000,309999
6,40664,5,32,124,985000,494999
8,78800,5,32,128,985000,343999
12,120189,5,36,160,695000,197999
8,32751,5,35,169,985000,391999
6,60544,5,32,159,985000,389999
8,67656,5,37,145,795000,271999
4,72589,5,36,146,695000,354999
4,17500,5,37,134,795000,1096999
7,83964,5,34,135,795000,308999
5,61267,5,36,130,695000,364999
6,56000,5,34,150,795000,324999
4,47631,5,32,175,985000,766999
6,67738,5,36,144,695000,324999
6,52882,5,33,167,795000,408999
8,101000,5,36,166,695000,222999
8,93317,5,37,137,795000,285999
12,119000,5,32,155,985000,210999
9,111599,5,37,137,795000,251999
6,48540,5,32,124,985000,519999
9,63398,5,36,177,695000,248999
6,73569,5,33,125,795000,360999
11,77151,5,36,160,695000,208999
5,43806,5,36,130,695000,403999
6,66800,5,32,124,985000,514999
10,99737,5,31,189,885000,220999
7,51776,5,34,131,795000,353999
4,73000,5,34,165,795000,512999
5,48148,5,34,125,795000,410999
5,36659,5,34,150,795000,470999
8,78585,5,31,172,885000,274999
7,55874,5,34,131,795000,292999
14,99700,5,31,179,885000,198999
6,57671,5,34,125,795000,349999
10,111410,5,36,171,695000,176999
9,68483,5,36,157,695000,188999
8,96000,5,32,128,985000,325999
8,35000,5,35,129,985000,468999
4,55381,5,31,158,885000,513999
9,140629,5,32,128,985000,245999
5,55613,5,39,138,1595000,788999
7,70248,5,36,144,695000,238999
9,122553,5,34,151,795000,253999
8,92067,5,40,178,1795000,507999
6,47592,5,32,124,985000,517999
3,35489,5,34,165,795000,561999
10,83115,5,34,140,795000,241999
6,60328,5,36,144,695000,323999
2,34280,5,37,182,795000,559999
5,15613,5,31,168,885000,509999
10,120000,5,34,151,795000,203999
6,40418,5,34,127,795000,406999
8,46006,5,31,141,885000,345999
6,47592,5,33,125,795000,372999
5,44000,5,34,150,795000,428999
7,72755,5,34,135,795000,310999
3,14550,5,41,199,1315000,1070999
9,70402,5,36,164,695000,251999
9,116119,5,34,151,795000,275999
5,55400,5,34,125,795000,369999
8,91000,5,32,128,985000,336999
7,70039,5,31,196,885000,307999
6,52000,5,34,125,795000,342999
7,34598,5,32,159,985000,454999
7,50647,5,31,198,885000,313999
10,41000,5,37,137,795000,310999
6,71200,5,34,125,795000,342999
9,81570,5,36,157,695000,236999
7,65001,5,34,135,795000,319999
7,57618,5,31,153,885000,383999
10,105019,5,36,171,695000,218999
8,88009,5,35,169,985000,340999
4,52107,5,32,132,985000,528999
10,105019,5,36,171,695000,217999
6,55491,5,34,125,795000,347999
8,35000,5,31,163,885000,353999
5,33000,5,38,124,1215000,678999
8,101000,5,36,166,695000,221999
6,77844,5,34,150,795000,357999
6,56000,5,36,144,695000,315999
8,91494,5,31,123,885000,303999
7,29458,5,34,151,795000,370999
5,64011,5,33,183,795000,525999
8,96240,5,39,148,1595000,468999
6,40269,5,33,125,795000,377999
4,52107,5,32,132,985000,527999
5,51805,5,34,127,795000,477999
12,108605,5,31,187,885000,190999
7,83741,5,36,144,695000,269999
5,66000,5,38,124,1215000,558999
6,40664,5,32,124,985000,485999
7,73545,5,36,144,695000,270999
4,31529,5,34,165,795000,478999
6,53085,5,32,159,985000,425999
5,46469,5,31,147,885000,490999
8,78025,5,37,137,795000,286999
4,49485,5,31,201,885000,598999
9,114116,5,37,137,795000,252999
4,47688,5,34,165,795000,444999
6,63116,5,36,144,695000,322999
8,64404,5,31,123,885000,309999
7,37500,5,31,123,885000,385999
10,112644,5,31,189,885000,217999
9,96000,5,37,137,795000,266999
9,77313,5,34,151,795000,280999
2,37000,5,35,133,985000,766999
5,51500,5,31,154,885000,523999
6,63660,5,34,127,795000,354999
8,85313,5,37,137,795000,311999
4,33363,5,33,184,795000,456999
4,47000,5,33,126,795000,433999
8,64451,5,36,149,695000,268999
4,49485,5,31,201,885000,599999
4,73000,5,34,165,795000,443999
4,34264,5,32,132,985000,526999
6,39300,5,33,125,795000,377999
12,75304,5,39,197,1595000,378999
6,33395,5,34,150,795000,431999
2,22206,5,33,195,795000,785999
7,48595,5,31,196,885000,314999
5,19507,5,31,123,885000,589999
8,115000,5,34,151,795000,254999
9,58624,5,31,189,885000,277999
9,126513,5,32,170,985000,244999
6,94000,5,34,125,795000,278999
10,91010,5,35,174,985000,388999
4,39000,5,33,126,795000,465999
8,78187,5,38,203,1215000,556999
8,103293,5,37,145,795000,273999
5,36659,5,34,150,795000,409999
5,48148,5,34,125,795000,346999
8,35000,5,35,129,985000,424999
10,62266,5,38,211,1215000,321999
7,84186,5,34,135,795000,281999
5,57573,5,35,213,985000,473999
5,51171,5,32,180,985000,585999
8,70506,5,37,137,795000,319999
5,55460,5,34,125,795000,369999
9,77355,5,34,151,795000,280999
7,85000,5,34,131,795000,316999
7,70000,5,37,191,795000,340999
9,108499,5,40,205,1795000,440999
8,101275,5,32,128,985000,281999
7,82380,5,31,181,885000,313999
6,90223,5,36,144,695000,283999
4,37512,5,34,165,795000,444999
6,64468,5,34,125,795000,289999
4,29316,5,32,204,985000,585999
4,73000,5,34,165,795000,442999
12,86000,5,32,206,985000,252999
4,36524,5,34,165,795000,475999
8,62306,5,39,215,1595000,487999
9,57000,5,31,189,885000,277999
3,28446,5,37,182,795000,482999
6,33395,5,34,150,795000,427999
4,36679,5,33,184,795000,465999
5,41253,5,35,129,985000,600999
8,68695,5,37,145,795000,262999
10,84154,5,34,140,795000,241999
9,110164,5,35,190,985000,281999
2,20000,5,36,192,695000,804999
3,47000,5,34,165,795000,566999
5,15613,5,31,168,885000,492999
6,67738,5,36,144,695000,308999
5,42264,5,31,147,885000,472999
4,47631,5,32,175,985000,751999
5,70773,5,34,150,795000,383999
7,57618,5,31,153,885000,382999
9,118037,5,36,164,695000,208999
8,32751,5,35,169,985000,390999
3,14550,5,41,199,1315000,1064999
6,71200,5,34,125,795000,337999
9,140629,5,32,128,985000,243999
6,66800,5,32,124,985000,511999
5,43000,5,33,125,795000,385999
2,38892,5,35,133,985000,758999
6,60328,5,36,144,695000,318999
